idrec,OBJECTID,BAIRRO,KM2,homicidios,teste,roubo_veiculo,roubo_patrimonio,pop2000,pop2010,dens2010m2,gini,p_pobre,p_desocup,p_alf,p_ens_sup,p_mulherchefe15_25,p_mulher_chefe,pjovem15_18,pjovem15_25,pjovem13_25,pjovem18_25,rdb,km2,centro,preco_imovel
92,448,COHAB,4.291079,82,1,17,441,69134,67283,15.6797,.43822601,.172809,14.847,76.444298,.011416,5.0102,34.121498,8.7873001,23.0263,27.2558,16.622801,14189.16,4.29108,0,.513246
80,436,COQUEIRAL,.47275057,6,0,33,99,11092,10794,22.8323,.428873,.17828099,15.7057,75.730301,.011673,3.5416999,33.958302,8.3212996,21.2225,25.018,14.9748,12477.48,.47275099,0,1.6437825
36,392,CORDEIRO,3.3762167,33,0,912,1621,37538,41164,12.1924,.54724503,.081371002,7.2677999,85.579903,.23376,4.8580999,38.204601,7.6429,21.354401,24.6817,15.8266,33752.758,3.37622,0,1.135417
50,406,CURADO,7.6567798,16,0,88,285,13481,16418,2.1442399,.454254,.180592,15.3034,74.126503,.029903,6.5844002,35.620098,8.4638004,23.781601,27.6092,17.6619,14596.32,7.6567798,0,1.8330843
15,371,DERBY,.43226257,4,0,24,683,2175,2071,4.79107,.34053299,.033654001,3.2051001,93.655197,.625,.9091,35.256401,7.5402002,23.2644,26.1609,17.655199,93420.594,.43226299,0,.96724832
47,403,DOIS IRMAOS,5.7860541,3,0,45,157,3046,2566,.44348001,.50040001,.213256,18.876101,71.043999,.030259,11.8182,31.7003,8.1746998,22.948099,27.3473,16.841801,23233.199,5.7860498,0,6.6992793
49,405,DOIS UNIDOS,3.1705337,34,0,29,241,27228,32905,10.3784,.43092301,.16889,15.191,74.324203,.0095509999,4.6410999,31.6859,8.6344995,22.6495,26.762899,16.189199,11255.04,3.1705301,0,3.0131922
40,396,ENCRUZILHADA,1.0188478,7,0,163,619,9348,11940,11.7191,.483587,.036522999,3.4331999,91.099701,.41088399,3.2423,42.805,7.7129002,20.079201,22.9568,14.6662,68315.164,1.01885,0,1.1548841
21,377,ENGENHO DO MEIO,.87438083,7,0,468,518,10560,10211,11.678,.52076399,.097543001,8.7275,86.875,.143014,2.8053999,40.520699,7.6799002,21.0322,24.4981,15.2462,31133.398,.87438101,0,1.1151624
16,372,ESPINHEIRO,.74136418,6,0,114,636,8902,10438,14.0794,.491447,.053219002,4.987,90.372902,.49460399,4.5412002,40.1563,7.6724,21.826599,24.915701,16.3671,87599.516,.741364,0,1.0811226
77,433,ESTANCIA,.78639829,16,0,195,432,8934,9240,11.7498,.50203699,.17080601,14.8148,77.322601,.043136999,5.0941,39.346401,7.7793002,20.360399,24.4347,14.6631,17637.84,.78639799,0,1.2153109
65,421,FUNDAO,.63125008,7,0,28,86,6927,8132,12.8824,.46093601,.094870001,7.8874998,80.944099,.078322999,3.6696999,42.0849,7.7234001,21.697701,25.1047,15.8943,19323.84,.63125002,0,1.3404428
17,373,GRACAS,1.3853904,0,0,98,733,16877,20538,14.8247,.33726299,.017145,1.6746,93.091202,.67384398,3.0418,36.702599,8.3011999,22.6047,25.798401,16.5966,113808.12,1.38539,0,1.0769145
88,444,GUABIRABA,45.626469,21,0,82,169,7318,6330,.138735,.49250299,.216352,18.465,60.180401,.021691,8.6124001,23.2481,9.7020998,24.255301,28.409401,17.1495,13911.12,45.626499,0,152.78012
67,423,HIPODROMO,.29539907,2,0,30,86,2627,2658,8.9980001,.51481199,.036010999,3.4626,91.853798,.34072,3.6545,41.6898,6.6234999,20.3654,23.8295,15.3788,57646.922,.29539901,0,1.0165352
90,446,IBURA,10.139506,71,1,359,1166,43681,50617,4.9920602,.45628399,.16184799,13.6928,75.012001,.032015,5.0857,32.0858,8.2117996,22.403299,26.3204,16.396099,14161.92,10.1395,0,.77491653
41,397,ILHA DO LEITE,.24461041,1,0,62,434,959,1007,4.1167498,.51139098,.079208001,7.9208002,90.615196,.38943899,4.0268002,49.1749,5.4222999,16.4755,18.6653,12.6173,36289.32,.24461,0,1.1151624
23,379,ILHA DO RETIRO,.56237602,4,0,27,263,3252,3740,6.6503501,.61249602,.254217,23.373501,73.185699,.24216899,17.7719,45.4217,8.7330999,23.7085,27.1525,16.974199,57260.402,.56237602,0,1.2473234
94,450,IMBIRIBEIRA,6.5052099,71,1,366,1704,46471,48512,7.4574099,.51530302,.128962,11.1042,.79051501,.14156,6.6037998,38.156399,8.2653704,22.513,26.386299,16.3715,25301.279,6.5052099,0,1.0495903
81,437,IPSEP,1.7664912,17,1,338,988,25714,25029,14.1688,.43604299,.059105001,4.9376001,88.543198,.12692399,2.3169999,39.485901,7.2101002,19.853001,23.1353,14.5679,29450.641,1.76649,0,.76643914
35,391,IPUTINGA,4.2288723,55,0,591,1239,46944,52200,12.3437,.519054,.107591,7.8916001,78.8386,.13926899,5.6434999,34.433998,8.1522999,21.924,25.6092,15.9594,24540.959,4.2288699,0,1.3178478
